http://www.pro-football-reference.com/boxscores/201510250mia.htm,,,,,,,points,points,expected points before the play,expected points after the play,home team win %,
Quarter,Time,Down,ToGo,Location,Yard Line,Detail,HTX,MIA,EPB,EPA,Win%,
2,4:13,3,10,MIA 16,16,Brian Hoyer sacked for -12 yards. Penalty on Olivier Vernon: Defensive Offside 5 yards (no play),0,35,3.08,3.94,99.9,
2,3:56,3,5,MIA 11,11,Arian Foster left guard for 2 yards (tackle by Ndamukong Suh and C.J. Mosley),0,35,3.94,2.93,99.9,
2,3:33,3,5,MIA 11,11,Timeout #1 by Houston Texans,0,35,0,0,,
2,3:33,3,5,MIA 11,11,Timeout #1 by Miami Dolphins,0,35,0,0,,
2,3:33,4,3,MIA 9,9,Brian Hoyer pass incomplete short left intended for Jonathan Grimes (defended by Bobby McCain),0,35,2.93,0.38,99.9,
2,3:30,1,10,MIA 9,9,Lamar Miller middle for 6 yards (tackle by Jared Crick),0,35,-0.38,-0.28,99.9,
2,3:02,2,4,MIA 15,15,Lamar Miller right tackle for 85 yards touchdown,0,41,-0.28,7,99.9,
2,3:02,,,MIA 15,15,Andrew Franks kicks extra point no good,0,41,0,-1,99.9,
2,3:02,,,MIA 35,35,Andrew Franks kicks off 69 yards returned by Keith Mumphery for 22 yards (tackle by Bobby McCain),0,41,0,-0.04,99.9,
2,2:33,1,10,HTX 18,18,Arian Foster middle for 11 yards (tackle by Terrence Fede and Earl Mitchell),0,41,0.04,0.87,99.9,
2,2:14,1,10,HTX 29,29,Brian Hoyer pass complete short left to DeAndre Hopkins for 11 yards (tackle by Reshad Jones),0,41,0.87,1.6,99.9,
2,2:00,1,10,HTX 40,40,Brian Hoyer sacked by Ndamukong Suh for -7 yards,0,41,1.6,0.11,99.9,
2,1:45,2,17,HTX 33,33,Brian Hoyer sacked by Ndamukong Suh for -8 yards,0,41,0.11,-1.62,99.9,
2,1:31,2,17,HTX 33,33,Timeout #2 by Houston Texans,0,41,0,0,,
2,1:31,3,25,HTX 25,25,Brian Hoyer sacked by Cameron Wake for -5 yards. Brian Hoyer fumbles (forced by Cameron Wake) recovered by Chris Clark at HOU-19,0,41,-1.62,-2.14,99.9,
2,1:24,3,25,HTX 25,25,Timeout #2 by Miami Dolphins,0,41,0,0,,
2,1:24,4,31,HTX 19,19,Shane Lechler punts 47 yards returned by Jarvis Landry for 2 yards (tackle by Charles James). Penalty on Charles James: Player Out of Bounds on Punt 5 yards (no play),0,41,-2.14,-2.47,99.9,
2,1:16,4,36,HTX 14,14,Shane Lechler punts 50 yards returned by Jarvis Landry for 16 yards (tackle by Jay Prosch). Penalty on Michael Thomas: Offensive Holding 10 yards,0,41,-2.47,-0.67,99.9,
2,1:03,1,10,MIA 26,26,Ryan Tannehill pass complete short left to Jordan Cameron for 12 yards (tackle by Darryl Morris),0,41,0.67,1.47,99.9,
2,0:56,1,10,MIA 38,38,Ryan Tannehill pass complete deep right to DeVante Parker for 35 yards (tackle by A.J. Bouye). Penalty on Jordan Cameron: Illegal Formation (Offsetting) Penalty on A.J. Bouye: Defensive Pass Interference (Offsetting) (no play),0,41,1.47,1.47,99.9,
2,0:50,1,10,MIA 38,38,Ryan Tannehill sacked by Jadeveon Clowney for -13 yards,0,41,1.47,-0.83,99.9,
2,0:14,2,23,MIA 25,25,Jonas Gray left guard for -1 yards (tackle by Jadeveon Clowney),0,41,-0.83,-1.62,99.9,0.1
,,,,,,End of Half,0,41,-1.62,0,,
Quarter,Time,Down,ToGo,Location,,Detail,HTX,MIA,EPB,EPA,Win%,
,,,,,,,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,
3,15:00,,,HTX 35,35,Nick Novak kicks off 70 yards returned by Damien Williams for 30 yards (tackle by Akeem Dent),0,41,0,0.61,99.9,
3,14:54,1,10,MIA 25,25,Damien Williams right guard for no gain (tackle by J.J. Watt),0,41,0.61,0.06,99.9,
3,14:22,2,10,MIA 25,25,Damien Williams middle for -1 yards (tackle by Akeem Dent),0,41,0.06,-0.76,99.9,
3,13:47,3,11,MIA 24,24,Jonas Gray right guard for 4 yards (tackle by John Simon and Eddie Pleasant),0,41,-0.76,-1.5,99.9,
3,13:07,4,7,MIA 28,28,Matt Darr punts 55 yards returned by Keith Mumphery for 7 yards (tackle by Zackary Bowman),0,41,-1.5,-0.54,99.9,
3,12:56,1,10,HTX 24,24,Arian Foster left guard for 4 yards (tackle by Michael Thomas),0,41,0.54,0.54,99.9,
3,12:31,2,6,HTX 28,28,Arian Foster left guard for 1 yard (tackle by Reshad Jones),0,41,0.54,-0.03,99.9,
3,11:57,3,5,HTX 29,29,Brian Hoyer pass complete short left to Nate Washington for 9 yards (tackle by Jamar Taylor),0,41,-0.03,1.47,99.9,
3,11:28,1,10,HTX 38,38,Arian Foster right tackle for 1 yard (tackle by Jelani Jenkins),0,41,1.47,1.06,99.9,
3,10:48,2,9,HTX 39,39,Brian Hoyer pass incomplete short left intended for DeAndre Hopkins (defended by Brent Grimes),0,41,1.06,0.37,99.9,
3,10:42,2,9,HTX 39,39,Timeout #1 by Houston Texans,0,41,0,0,,
3,10:42,3,9,HTX 39,39,Brian Hoyer pass incomplete short left intended for DeAndre Hopkins,0,41,0.37,-0.78,99.9,
3,10:38,4,9,HTX 39,39,Shane Lechler punts 50 yards returned by Rishard Matthews for 9 yards (tackle by Charles James),0,41,-0.78,-0.28,99.9,
3,10:29,1,10,MIA 20,20,Ryan Tannehill sacked by J.J. Watt for -11 yards,0,41,0.28,-1.58,99.9,
3,9:53,2,21,MIA 9,,Damien Williams for 19 yards (tackle by Johnathan Joseph),0,41,-1.58,0.1,99.9,
3,9:27,3,2,MIA 28,28,Damien Williams right guard for 1 yard (tackle by Jared Crick). Damien Williams fumbles (forced by Jared Crick) recovered by Johnathan Joseph at MIA-31 (tackle by DeVante Parker),0,41,0.1,-3.51,99.9,
3,9:12,1,10,MIA 31,31,Brian Hoyer pass incomplete short right intended for Nate Washington,0,41,3.51,2.97,99.9,
3,9:09,2,10,MIA 31,31,Brian Hoyer pass complete deep left to Arian Foster for 21 yards (tackle by Kelvin Sheppard),0,41,2.97,4.91,99.9,
3,8:51,1,10,MIA 10,10,Arian Foster left guard for 3 yards (tackle by Derrick Shelby),0,41,4.91,4.76,99.9,
3,8:28,2,7,MIA 7,,Brian Hoyer pass complete short left to Arian Foster for 7 yards touchdown,6,41,4.76,7,99.9,
3,8:28,,,MIA 7,,Nick Novak kicks extra point no good,6,41,0,-1,99.9,
3,8:28,,,HTX 35,35,Nick Novak kicks off 74 yards returned by Damien Williams for 34 yards (tackle by Eddie Pleasant),6,41,0,-0.61,99.9,
3,8:07,1,10,MIA 25,25,Jonas Gray right end for 15 yards (tackle by Justin Tuggle),6,41,0.61,1.6,99.9,
3,7:28,1,10,MIA 40,40,Jonas Gray middle for no gain (tackle by J.J. Watt),6,41,1.6,1.05,99.9,
